canonical_smiles,gap
CC1(C2=NCCN2)CO1,0.2364
CC(CO)C(O)CC#N,0.305
CC1(C2CCO2)CN1,0.3168
CN1C2COC(C)(C)C21,0.2973
CC(C)(C=O)C(O)C#N,0.2213
O=C1C=CCC(O)C1,0.1899
CC1CCC1OCCO,0.3286
CC12CC3CCC(O1)C32,0.3119
CC#CCOC1CC1O,0.265
N#CC1C2OC(=N)OC12,0.279
NC(=O)N1CC12COC2,0.2758
C#CC1(C)NC1CCO,0.2752
CC1OC(CO)CC1O,0.2991
CC1CC1C(O)CO,0.3164
CC#CC(C=O)C(C)O,0.208
C#CC1(CO)C2COC21,0.2713
C#CC12CC(CC)(C1)O2,0.2559
CC(=N)NC(=O)OC=N,0.2413
C#Cc1cc(=O)nc[nH]1,0.1749
CC1=CCOCC2NC12,0.2473
Cc1oncc1N,0.2104
CC(C#N)NCC1CO1,0.2738
c1n[nH]c(NC2CC2)n1,0.2511
CCC12C3C4N3C1C42C,0.2729
COC1CC(=O)N(C)C1,0.2718
N=c1oncn1CC=O,0.1871
Cn1ccc(=NO)cn1,0.1539
Cc1nc(O)c(N)o1,0.2162
COc1coc(C)c1C,0.231
Cc1oc(C=O)nc1O,0.156
C#CC1C2CCCC12,0.2875
Nc1coc(N)c1CO,0.2116
O=CCN1C=NCC1=O,0.2062
CC(O)Cc1nc[nH]n1,0.2435
O=C1OCCC(CO)O1,0.3142
N#CC1=CC2NC2C1=O,0.169
CC(=N)OC(=O)C1CN1,0.2441
C1=CC2CC3CC2CC13,0.252
Cc1cc2ncoc2[nH]1,0.2105
CNC(C)(C)C(=O)OC,0.2351
Nc1coc([N+](=O)[O-])c1,0.1472
Cc1cc(F)ccc1O,0.2069
CC1C2OC=NC12C=O,0.2168
Cc1[nH]c(N)cc1C=O,0.177
N=C1CNC(CO)CO1,0.2585
C#CCC(O)C1CN1,0.2783
CCC1(O)C(=O)OC1C,0.2618
CC1CN1C1CC2NC21,0.2865
CNC1=NCCOC1=N,0.193
COc1cc(N)n(C)c1,0.223
O=COC1CCCCO1,0.2735
CN1C2C(=O)C1C21CN1,0.2318
CCC12C(=O)NC1C2O,0.2494
CCC1(N2CC2)CC1O,0.3034
OCCCC(O)CO,0.3173
CCC1(C#N)CC(=O)O1,0.2833
CC12CC1CC(O)C2O,0.3049
CC1(O)CCOC1(C)C,0.3072
CC1C=CCC(C)C1,0.2652
C#CC(O)CC1(O)CC1,0.2746
Cc1cnc(O)n1C=O,0.1661
CC(C)(C)CCC#N,0.3496
OC1C=CCC2CC1C2,0.2603
CC(C)C(C)COC=O,0.286
c1nc2oncc2o1,0.2076
C#CC12C=C(C)C(C1)O2,0.2326
OCCC1CC2CC1O2,0.3243
CC12CNC1C(C#N)O2,0.2502
C#CC1=CC(=O)N2CC12,0.1763
C1CC23CC(O1)C2CO3,0.2893
CNCC1(C#N)CCO1,0.2408
CC1CCC(C#N)N1C,0.2618
OCC1CCCO1,0.3242
N#CCCC(=O)NC=N,0.2291
CN=CNc1conn1,0.1908
CC1C2C3C4NC4C2N13,0.2827
N=C1CC(C(F)(F)F)O1,0.2945
O=C1C(CO)CN2CC12,0.2123
N#Cc1cc(N)on1,0.1974
CCN1C=CC(=NO)C1,0.1675
OCC12CC3C4C(C31)C42,0.3109
Cn1cc(CC#N)nn1,0.2536
N=c1occ2n1CCN2,0.2289
CCOC(C)(C)CC=O,0.2227
C#CCC(O)C(=O)C#C,0.1801
CN1CC2OCC21C,0.2753
O=CC1CC12COC2,0.2247
CCc1ccc(N)n1C,0.2293
C#CCn1cncc1O,0.2275
Cc1c[nH]c(N)c1C=O,0.1729
CCC1C=CCC1OC,0.2607
O=C1C2C=CCC1(O)C2,0.2144
CC1CC=C2C3NC3C21,0.237
OCCCC(O)C1CN1,0.3165
C#CC1C2CC1O2,0.2761
CCC1(O)CC(O)C1O,0.3018
C1CC23COC2C1N3,0.2701
O=CCn1ncc(O)n1,0.1994
CC1(O)C2CC3NC3C21,0.302
N#CC12CCC(=O)C1C2,0.2206
Oc1cc2n(n1)CC2,0.2403
C#CCCCC(=O)CO,0.2348
C#CC12CC3C(O1)C32C,0.2494
OCCC#CC(F)(F)F,0.2961
CC#CCCOC,0.305
CCC1(C)C2NC(=O)C21,0.25
N=c1c(F)c[nH]nc1N,0.1681
C1OC2C3OC24C1CC34,0.1987
N=c1occ(O)oc1=O,0.1603
CCC12CC(C)C1(O)C2,0.3135
OCC1=CC2C3C1CN23,0.2279
N#Cc1cc(=N)nc[nH]1,0.1606
CC(C)(C=O)OC=N,0.2256
CC1C(=O)CC1CC=O,0.2168
C#CCCC(C#C)C=O,0.2197
C1OC2CC3C1CC3O2,0.3289
CCCCC(C)(C)C#N,0.3519
CC1(C2CCOC2)CC1,0.3148
C#CC(=O)C12CC(C1)C2,0.1962
C1C2OC3C4CC2C1C43,0.3012
N=C(N)c1ncoc1N,0.2059
O=C1OCCCCCO1,0.3016
CC1OC12CC1CC12,0.3349
N=c1cncccc1O,0.1467
O=C1CC(CC2CO2)C1,0.2226
O=C1C2C=CC1C2O,0.2405
Nc1ccc([N+](=O)[O-])o1,0.1527
COCc1c[nH]cc1C,0.2516
Nc1nc(CC=O)co1,0.1948
C#CC(C)(CC)C(N)=O,0.273
CCn1cc(C)nc1C,0.2412
CC12C=CCC1(C)CC2,0.2623
N#CC12NC3C1CC32O,0.2598
CC1C2OC1C2N(C)C,0.2902
CC12C3CN1C2(C#N)C3,0.273
OC12C=CC3CC1C2O3,0.228
OC1COC2CCC2C1,0.3097
CN1CCC(=O)C1,0.1935
CCCN1CCC1C#N,0.2535
CN1C2C3OC3C21CO,0.2618
C#CC12OC3C1CC32O,0.2431
C#CC(C)C1OC2CC21,0.2868
C1C2C3CC4(CO4)C3N12,0.2793
CC1CN1C1CC2CC21,0.2988
Cc1nc[nH]c(=O)n1,0.2015
CC(C)(C)C(F)(F)F,0.418
Cn1cnn(C=O)c1=O,0.21
