smiles,gap
CC1(CO1)C1=NCCN1,0.2364
CC(CO)C(O)CC#N,0.305
CC1(CN1)C1CCO1,0.3168
CN1C2COC(C)(C)C12,0.2973
CC(C)(C=O)C(O)C#N,0.2213
OC1CC=CC(=O)C1,0.1899
CC1CCC1OCCO,0.3286
CC12CC3CCC(O1)C23,0.3119
CC#CCOC1CC1O,0.265
N=C1OC2C(O1)C2C#N,0.279
C1C2(N1C(=O)N)COC2,0.2758
CC1(NC1CCO)C#C,0.2752
CC1OC(CO)CC1O,0.2991
CC1CC1C(O)CO,0.3164
CC#CC(C=O)C(C)O,0.208
OCC1(C#C)C2COC12,0.2713
CCC12CC(C1)(O2)C#C,0.2559
CC(=N)NC(=O)OC=N,0.2413
C#Cc1cc(=O)nc[nH]1,0.1749
CC1=CCOCC2NC12,0.2473
Cc1c(cno1)N,0.2104
CC(NCC1CO1)C#N,0.2738
c1nc([nH]n1)NC2CC2,0.2511
CCC12C3C4N3C1C24C,0.2729
COC1CN(C)C(=O)C1,0.2718
N=C1ON=CN1CC=O,0.1871
Cn1ccc(=NO)cn1,0.1539
Cc1nc(c(o1)N)O,0.2162
Cc1c(occ1OC)C,0.231
Cc1c(nc(o1)C=O)O,0.156
C#CC1C2CCCC12,0.2875
c1c(c(c(o1)N)CO)N,0.2116
C1C(=O)N(C=N1)CC=O,0.2062
CC(O)CC1=NNC=N1,0.2435
OCC1CCOC(=O)O1,0.3142
O=C1C2NC2C=C1C#N,0.169
CC(=N)OC(=O)C1CN1,0.2441
C1C2CC3C=CC2CC13,0.252
Cc1cc2c([nH]1)ocn2,0.2105
CC(C)(C(=O)OC)NC,0.2351
c1c(coc1N(=O)=O)N,0.1472
Cc1cc(ccc1O)F,0.2069
CC1C2OC=NC12C=O,0.2168
Cc1c(cc([nH]1)N)C=O,0.177
OCC1COC(=N)CN1,0.2585
OC(CC#C)C1CN1,0.2783
CCC1(O)C(C)OC1=O,0.2618
CC1CN1C1CC2NC12,0.2865
CNC1=NCCOC1=N,0.193
Cn1cc(cc1N)OC,0.223
O=COC1CCCCO1,0.2735
CN1C2C(=O)C1C21CN1,0.2318
CCC12C(O)C1NC2=O,0.2494
CCC1(CC1O)N1CC1,0.3034
OCCCC(O)CO,0.3173
CCC1(CC(=O)O1)C#N,0.2833
CC12CC1CC(O)C2O,0.3049
CC1(O)CCOC1(C)C,0.3072
CC1CC=CC(C)C1,0.2652
OC(CC1(O)CC1)C#C,0.2746
Cc1cnc(n1C=O)O,0.1661
CC(C)(C)CCC#N,0.3496
OC1C=CCC2CC1C2,0.2603
CC(C)C(C)COC=O,0.286
c1c2c(nco2)on1,0.2076
CC1=CC2(CC1O2)C#C,0.2326
OCCC1CC2CC1O2,0.3243
CC12CNC1C(O2)C#N,0.2502
O=C1C=C(C#C)C2CN12,0.1763
C1OC23CC(OCC2)C13,0.2893
CNCC1(CCO1)C#N,0.2408
CC1CCC(C#N)N1C,0.2618
OCC1CCCO1,0.3242
C(CC(=O)NC=N)C#N,0.2291
CN=CNc1conn1,0.1908
CC1C2C3C4NC4C2N13,0.2827
FC(F)(F)C1CC(=N)O1,0.2945
OCC1CN2CC2C1=O,0.2123
c1c(noc1N)C#N,0.1974
CCN1CC(=NO)C=C1,0.1675
OCC12CC3C4C(C14)C23,0.3109
Cn1cc(nn1)CC#N,0.2536
N=C1OC=C2NCCN12,0.2289
CCOC(C)(C)CC=O,0.2227
OC(CC#C)C(=O)C#C,0.1801
CN1CC2OCC12C,0.2753
O=CC1CC11COC1,0.2247
CCc1ccc(n1C)N,0.2293
C#CCn1cncc1O,0.2275
Cc1c[nH]c(c1C=O)N,0.1729
CCC1C=CCC1OC,0.2607
OC12CC(C=CC1)C2=O,0.2144
CC1CC=C2C3NC3C12,0.237
OCCCC(O)C1CN1,0.3165
C#CC1C2CC1O2,0.2761
CCC1(O)CC(O)C1O,0.3018
C1OC2C3CCC12N3,0.2701
c1c(nn(n1)CC=O)O,0.1994
CC1(O)C2CC3NC3C12,0.302
O=C1CCC2(CC12)C#N,0.2206
c1c2n(nc1O)CC2,0.2403
C#CCCCC(=O)CO,0.2348
CC12C3CC1(OC23)C#C,0.2494
C(CO)C#CC(F)(F)F,0.2961
CC#CCCOC,0.305
CCC1(C)C2NC(=O)C12,0.25
NC1=NNC=C(F)C1=N,0.1681
C1C2COC3C4OC23C14,0.1987
OC1=COC(=N)C(=O)O1,0.1603
CCC12CC1(O)C(C)C2,0.3135
OCC1=CC2C3C1CN23,0.2279
N=C1C=C(NC=N1)C#N,0.1606
CC(C)(OC=N)C=O,0.2256
CC1C(CC=O)CC1=O,0.2168
O=CC(CCC#C)C#C,0.2197
C1C2COC3CC2C1O3,0.3289
CCCCC(C)(C)C#N,0.3519
CC1(CC1)C1CCOC1,0.3148
O=C(C#C)C12CC(C1)C2,0.1962
C1C2OC3C4CC2C1C34,0.3012
c1nc(c(o1)N)C(=N)N,0.2059
C1CCOC(=O)OCC1,0.3016
CC1OC11CC2CC12,0.3349
OC1=CC=CN=CC1=N,0.1467
O=C1CC(CC2CO2)C1,0.2226
OC1C2C=CC1C2=O,0.2405
c1cc(oc1N)N(=O)=O,0.1527
Cc1c[nH]cc1COC,0.2516
c1c(nc(o1)N)CC=O,0.1948
CCC(C)(C#C)C(N)=O,0.273
CCn1cc(nc1C)C,0.2412
CC12CCC1(C)C=CC2,0.2623
OC12CC3C1NC23C#N,0.2598
CC1C2OC1C2N(C)C,0.2902
CC12C3CN1C2(C3)C#N,0.273
OC12C=CC3CC1C2O3,0.228
OC1COC2CCC2C1,0.3097
CN1CCC(=O)C1,0.1935
CCCN1CCC1C#N,0.2535
CN1C2C3OC3C12CO,0.2618
OC12CC3C1OC23C#C,0.2431
CC(C#C)C1OC2CC12,0.2868
C1C2C3CC4(CO4)C3N12,0.2793
CC1CN1C1CC2CC12,0.2988
Cc1nc[nH]c(=O)n1,0.2015
CC(C)(C)C(F)(F)F,0.418
Cn1cnn(c1=O)C=O,0.21
c1c[nH]cc1C=O,0.1975
Cc1ccc(o1)CC#N,0.2265
C#CC1CC=C2CCC12,0.2442
Cc1nc(c(o1)OC)N,0.2042
NC1(CNC(=O)C1)C#N,0.266
COC(C#N)C(C)CO,0.2906
OC1COC2=CNC=C12,0.2232
CC(C)c1cnon1,0.2575
CC(=O)Oc1cnon1,0.2406
O=C1CC2OC2CCN1,0.2649
CN=C1CCOCO1,0.2639
C1CC23C4CC2(C4)OC13,0.2968
CCC1C2CC=CC12C,0.2445
O=CN1CC2CC12C#N,0.2431
CC(O)C1NC1C,0.3164
COC1CC2CC(=O)C12,0.2182
CC12CC(=O)C(CO1)O2,0.217
CNC(=O)N1CC1,0.2821
CN=c1[nH]c(no1)C=O,0.1382
Cc1cc(n(c1)C=O)O,0.162
NC(=N)C1(CCO1)C#N,0.2504
COC1(CC#N)CC1C,0.2898
CC12CC3N1CC2C3=O,0.208
CC1=C2COC2CC1=O,0.1933
CC1=C(C)CC(O)C1,0.255
CC(C)C#CC1CN1,0.269
CCC(=O)CC=O,0.2117
C1OC2C3NC3C2C=C1,0.2508
CC(O)CCCCC#C,0.3155
OC1C2C(=N)OC12C=O,0.2097
C1C=C(CC(=O)O1)C#N,0.223
CC1C2COC12,0.3148
COC1(C)CC1CC#C,0.3107
O=C1CC2OC3C2C13,0.2245
CC1=CCC2CC2C=C1,0.198
O=C1CC2C(N1)C2C#C,0.256
CC1NC11CC(C)C=C1,0.2347
CC(O)C12CC(O)C1N2,0.3121
C#CCC(=O)CC(=O)N,0.213
CC1C(C)C1(C)C1CC1,0.3156
OC1C2OC2C(=O)C1=O,0.1503
CC1OCC2OC(=N)C12,0.2835
C1C(=NO)CO1,0.2452
CC1(OCCCO1)CO,0.3316
N#CC12C3C1C1C3NC21,0.2595
CC1C(O)C1CC(C)=O,0.2275
CC1=NC=CN=CC1=N,0.1649
CC#CCC1CCCC1,0.3009
OC1C2C3N2C(=N)C13O,0.2694
CC(=N)OC1(C)CCC1,0.2908
C1CC(=O)C(=C1)CO,0.1997
CC12C3C4OC1C4N23,0.3035
CC1=CC=C(F)OC1=N,0.1715
COC1C2C3C2C2C3C12,0.2994
CC1CC2CN2C1CO,0.3099
CC1C2C3C1C2C31CO1,0.3476
CC1C(C=O)N2CC12C,0.2098
N=C1OCC11CC2CC12,0.2789
c1cnn2c1ncnn2,0.1587
C#CC1CC2(CCC2)O1,0.2716
CC1C[NH+](CC([O-])=O)C1,0.264
CC(O)C1(C)CCOC1,0.3263
CC1C(C)C2(O)CC12O,0.2927
O=C1C2NC3C2COC13,0.2028
COC1CC(C)CC1=O,0.2006
O=CC1(CCCO1)C#C,0.2078
CC12CC3C(O)C1C23O,0.3044
CC1(CO1)C1C2CN1C2,0.3104
C1C2NC2C11CN=CO1,0.2647
c1ccc(=O)cc(c1)O,0.1536
C#Cc1c(coc1N)N,0.1962
COC=Nc1c[nH]nn1,0.2095
CC1C(C)C1C#N,0.3122
CC1OC11CNC(=O)C1,0.2747
CC1(C)CCOC1C#C,0.2922
CC1=CC(=O)OC12CC2,0.2155
NC(C#N)C(N)C1CN1,0.2651
Cc1c(c(c[nH]1)N)NC,0.2306
O=CC12NC1CC2C#N,0.2198
CNc1cnc([nH]1)C#N,0.1839
CCCCc1n[nH]nn1,0.2601
CCOC(C)CCOC,0.3284
CC1CC11NC(=O)C=C1,0.2033
C#CCCC1CO1,0.3165
CCC1CC2(CCO2)C1,0.3142
C1CC11CC2C3OC3C12,0.3201
Cc1nc(on1)OC=O,0.2389
CC(O)CC1CCO1,0.3099
CC1(CC(C1=O)(C)C)C,0.2117
Cc1c(c(=O)cco1)F,0.2011
c1c(nc(nc1N)O)N,0.2281
Cc1c(onn1)NC=N,0.1955
c1nc2c(o1)OCCO2,0.2084
OC1CCCCC1=O,0.2312
CC1OC2=NCCC12C,0.2617
N#CC1CCOC1C#N,0.302
CCC(CC(C)O)C#C,0.309
CCCOCCC=O,0.2283
C1C=C(NC(=O)O1)C#N,0.1924
c1cn2c(c1N)C=CC2,0.1619
c1[nH]c2nnnn2n1,0.2389
OC1CC23CC12CC=C3,0.2341
C1CC2OCC=CC2C1,0.2592
c1cc(c(cc1F)N)F,0.2064
CC1(CCO1)C(=O)C#C,0.1838
CCc1cccn1C,0.2386
CC1COC(CO1)C#C,0.2694
CCCC(=NO)CCO,0.2548
CC(C#N)C(C#C)C#C,0.287
CC1CC(=O)NCC=C1,0.2461
CC(O)COC(C)C=O,0.2262
c1cnnnn1,0.166
Cc1cc(oc1C#N)C,0.1994
C1c2c(nn[nH]2)N=C1N,0.193
CCC1(C)CC(C)(O)C1,0.3214
CCc1nc([nH]n1)N,0.2542
C#CCC(=O)C(=O)N,0.1766
CC1OC11C(C)OC1=N,0.271
COC1CCC(C)(C)O1,0.3362
Cc1c(c(n[nH]1)CO)N,0.2151
Cc1c(n[nH]n1)C#N,0.2339
CCC1(C)CCC1O,0.3296
N#CC1CC2N=COC12,0.2644
COC(C)C(O)CCO,0.3266
CCC(COC)C#CC,0.3051
CC1CC2(CN2C)C1O,0.286
COCCC(OC)C=O,0.2133
CC1CN2C(C3CN3)C12,0.298
Cc1c(cn(c1N)C)N,0.2249
CC1CC2CC(O2)C1O,0.318
CC1CC(O)(CO)CO1,0.3027
CC(C=O)C1(CO1)C#N,0.2233
N=C1OCC11CCOC1,0.2813
N#CCC1(CC1)C1CO1,0.3101
CNCc1nc(no1)O,0.2194
C1OC2C3CCOC1C23,0.3077
O=C1CC2CC12N1CC1,0.2122
c1c(c(on1)N)CC=O,0.1737
OC1CCOCCC1=O,0.2299
C1OC2CC=CC2=C1,0.1949
COCC1CC1CC#N,0.2971
CC1CC2=NC(N)=NN12,0.2257
OC1CCC2CC12C=O,0.2261
CC12OC3C4C1CN4C23,0.2903
CCC1CCC2OC2C1,0.3387
C1C2CC3C4CCC13C24,0.3501
